School District,MAP ID,ONSITE Value,VIRTUAL Value,Total Value
Achievement School District,11271,13,23,36
Alamo City Schools,457,0,9,9
Alcoa City Schools,11147,5,11,16
Alvin C. York Agricultural Institute,3,0,1,1
Anderson County Schools,11149,3,5,8
Arlington Community Schools,11154,4,11,15
Athens City Elementary Schools,454,3,0,3
Bartlett City Schools,11155,0,8,8
Bedford County Schools,11156,83,96,179
Bells City Schools,458,0,4,4
Benton County Schools,11157,0,4,4
Bledsoe County Schools,11158,6,4,10
Blount County Schools,11159,1,13,14
Bradford Special Schools,11184,0,0,0
Bradley County Schools,11160,1,18,19
Bristol City Schools,11161,0,9,9
Campbell County Schools,11162,0,8,8
Cannon County Schools,11163,19,22,41
Carroll County Schools,,0,0,0
Carter County Schools,11164,0,14,14
Cheatham County Schools,11165,7,11,18
Chester County Schools,11166,0,13,13
Claiborne County Schools,11167,7,6,13
Clarksville-Montgomery County School System,11230,23,59,82
Clay County Schools,11168,5,2,7
Cleveland City Schools,11169,12,30,42
Clinton City Schools,456,0,2,2
Cocke County Schools,11170,9,13,22
Coffee County Schools,11171,20,22,42
Collierville Schools,11151,4,47,51
Crockett County Schools,11172,1,6,7
Cumberland County Schools,11173,24,15,39
Dayton City Schools,452,2,8,10
Decatur County Schools,11174,4,6,10
DeKalb County Schools,11175,25,28,53
Dickson County Schools,11176,0,24,24
Dyer County Schools,11177,0,5,5
Dyersburg City Schools,11178,0,10,10
Elizabethton City Schools,11179,0,3,3
Etowah City Elementary Schools,455,0,0,0
Fayette County Schools,11180,12,21,33
Fayetteville City Schools,11181,7,12,19
Fentress County Schools,11182,14,16,30
Fort Campbell Schools,11148,0,0,0
Franklin County Schools,11183,31,37,68
Franklin Special School District,447,31,51,82
Germantown Municipal Schools,11153,2,30,32
Gibson County Special School District,11185,0,4,4
Giles County Schools,11186,45,53,98
Grainger County Schools,11187,0,6,6
Greene County Schools,11188,6,18,24
Greeneville City Schools,11189,2,3,5
Grundy County Schools,11190,11,15,26
Hamblen County Schools,11146,6,82,88
Hamilton County Schools,11191,43,27,70
Hancock County Schools,11192,2,4,6
Hardeman County Schools,11193,0,2,2
Hardin County Schools,11194,1,3,4
Hawkins County Schools,11195,3,29,32
Haywood County Schools,11196,0,7,7
Henderson County Schools,11197,0,7,7
Henry County Schools,11198,4,6,10
Hickman County Schools,11199,26,25,51
Hollow Rock-Bruceton Special School District,11200,0,0,0
Houston County Schools,11201,0,1,1
Humboldt City Schools,11202,4,0,4
Humphreys County Schools,11203,0,1,1
Huntingdon Special School District,11204,1,0,1
Jackson County Schools,11205,4,5,9
Jackson-Madison County School System,11219,19,49,68
Jefferson County Schools,11206,4,5,9
Johnson City Schools,11207,0,33,33
Johnson County Schools,11208,3,17,20
Kingsport City Schools,11209,4,32,36
Knox County Schools,11210,18,83,101
Lake County Schools,11211,0,1,1
Lakeland School District,446,3,13,16
Lauderdale County Schools,11212,0,7,7
Lawrence County Schools,11213,21,23,44
Lebanon Special School District,448,50,19,69
Lenoir City Schools,11214,3,14,17
Lewis County Schools,11215,18,17,35
Lexington City Schools,451,0,4,4
Lincoln County Schools,11216,10,8,18
Loudon County Schools,11217,6,12,18
Macon County Schools,11218,19,12,31
Manchester City Schools,449,26,39,65
Marion County Schools,11220,20,18,38
Marshall County Schools,11221,12,18,30
Maryville City Schools,11222,18,8,26
Maury County Public Schools,11223,105,71,176
McKenzie Special School District,11224,0,2,2
McMinn County Schools,11225,4,0,4
McNairy County Schools,11226,0,2,2
Meigs County Schools,11227,5,8,13
Memphis-Shelby County Schools,11150,25,263,288
Metropolitan Nashville Public Schools,11233,74,140,214
Milan Special School District,11228,0,2,2
Millington Municipal Schools,11152,1,8,9
Monroe County Schools,11229,0,3,3
Moore County Schools,11231,13,31,44
Morgan County Schools,11232,0,1,1
Murfreesboro City Schools,453,202,123,325
Newport City Schools,450,0,1,1
Oak Ridge City Schools,11234,3,6,9
Obion County Schools,11235,1,3,4
Oneida Special School District,11236,2,2,4
Overton County Schools,11237,5,4,9
Paris Special School District,459,3,7,10
Perry County Schools,11238,5,8,13
Pickett County Schools,11239,0,1,1
Polk County Schools,11240,1,5,6
Putnam County Schools,11241,46,27,73
Rhea County Schools,11242,9,16,25
Richard City Special School District,11243,0,2,2
Roane County Schools,11244,2,3,5
Robertson County Schools,11245,17,42,59
Rogersville City School System,444,0,6,6
Rutherford County Schools,11246,362,268,630
Scott County Schools,11247,2,1,3
Sequatchie County Schools,11248,5,5,10
Sevier County Schools,11249,4,55,59
Smith County Schools,11250,16,7,23
South Carroll Special School District,11251,0,0,0
Stewart County Schools,11252,19,8,27
Sullivan County Schools,11253,2,6,8
Sumner County Schools,11254,24,33,57
Sweetwater City Schools,445,0,0,0
Tennessee School for the Blind,1,4,16,20
Tennessee School for the Deaf ,2,1,5,6
Tipton County Schools,11255,3,20,23
Trenton Special School District,11256,0,0,0
Trousdale County Schools,11257,7,10,17
Tullahoma City Schools,11258,29,23,52
Unicoi County Schools,11259,5,6,11
Union City Schools,11260,4,2,6
Union County Schools,11261,2,22,24
Van Buren County Schools,11262,2,1,3
Warren County Schools,11263,76,63,139
Washington County Schools,11264,2,13,15
Wayne County Schools,11265,8,14,22
Weakley County Schools,11266,1,10,11
West Carroll Special School District,11267,0,1,1
White County Schools,11268,18,22,40
Williamson County Schools,11269,106,90,196
Wilson County Schools,11270,126,93,219
